77,35,80
80,51,3
19,40,93
49,8,73
45,24,49
65,12,58
71,18,24
75,24,46
28,42,96
68,5,55
66,90,52
16,94,23
12,49,49
50,49,62
96,34,68
34,90,40
59,37,37
22,11,99
75,78,4
26,39,89
51,24,91
70,40,80
89,10,10
96,13,26
55,94,34
14,96,68
15,58,14
26,6,72
84,23,11
25,35,65
81,82,49
24,2,78
93,4,72
35,17,90
20,65,89
25,73,33
62,65,70
47,45,20
35,55,3
83,30,74
59,74,50
55,19,48
92,69,90
29,18,61
76,37,62
75,63,86
38,78,81
57,8,58
8,93,18
5,78,24
53,49,89
78,44,3
93,45,49
13,31,17
57,51,98
47,51,71
1,82,50
34,79,47
16,64,6
79,38,68
31,81,4
53,53,7
17,35,52
60,94,10
26,88,82
65,55,82
69,62,72
75,59,15
45,21,66
8,30,52
23,47,97
91,23,65
15,84,80
83,19,45
54,23,43
100,17,83
8,23,8
44,44,13
11,31,17
96,92,39
0,43,83
77,18,80
82,90,6
87,98,40
8,44,53
40,11,42
26,26,66
80,41,63
43,59,29
91,26,43
18,60,2
26,71,98
15,22,17
14,12,11
87,30,37
58,32,20
55,42,49
14,51,34
85,9,95
62,26,92
